"분류ID","분류","유형ID","유형","가능여부","유형조합수Nc","전체관측","전체회차수","전체관측비율","공정유형확률","이론기대관측","관측대이론비율","전체Wilson하한","전체Wilson상한","전체Wilson폭","최근관측","최근회차수","모형유형확률","모형특정1조합확률","공정특정1조합확률","최근Wilson하한","최근Wilson상한","최근Wilson폭","추정대상회차","해석"
"low_count","22 이하 번호 개수","3","3개","true","2727340","168","522","0.3218390804597701","0.33484590659860086","174.78956324446966","0.9611557857434919","0.283188747208161","0.36309247143682255","0.07990372422866154","55","156","0.3437050045813517","1.2602205980235383e-7","1.2277380399898834e-7","0.28195638527280714","0.43025845348437924","0.14830206821157213","1242","실험 추정; 미래 우월성 미확인"
"low_count","22 이하 번호 개수","4","4개","true","1850695","124","522","0.23754789272030652","0.22721686519190773","118.60720363017583","1.0454676967736227","0.20303974108585016","0.275890656272889","0.07285091518703882","37","156","0.23219817618569744","1.254653933715158e-7","1.2277380399898834e-7","0.17725337497525034","0.3097382941136472","0.1324849191383968","1242","실험 추정; 미래 우월성 미확인"
"low_count","22 이하 번호 개수","5","5개","true","605682","38","522","0.07279693486590039","0.07436188315371525","38.816903006239365","0.9789549669609641","0.05349385883670556","0.09834175146255601","0.04484789262585045","9","156","0.06602709542301148","1.0901280774896972e-7","1.2277380399898834e-7","0.03064574216379553","0.10599877410776384","0.07535303194396832","1242","실험 추정; 미래 우월성 미확인"
"low_count","22 이하 번호 개수","6","6개","true","74613","6","522","0.011494252873563218","0.009160521837776518","4.781792399319342","1.254759617095477","0.005278273303937627","0.024847648787146258","0.01956937548320863","2","156","0.01099051732914467","1.4730030060639124e-7","1.2277380399898834e-7","0.0035229170716722553","0.04553481099555255","0.04201189392388029","1242","실험 추정; 미래 우월성 미확인"
"sum_bin","여섯 번호 합계","21-89","21~89","true","434395","22","522","0.0421455938697318","0.05333232658814054","27.839474479009365","0.7902448020916394","0.02799466883834159","0.06298609735683115","0.03499142851848956","9","156","0.05551231714022412","1.2779225621893466e-7","1.2277380399898834e-7","0.03064574216379553","0.10599877410776384","0.07535303194396832","1242","실험 추정; 미래 우월성 미확인"
"sum_bin","여섯 번호 합계","90-119","90~119","true","1789726","117","522","0.22413793103448276","0.21973146913589342","114.69982688893637","1.0200538498919522","0.1904535724812974","0.2618528305819029","0.07139925810060552","30","156","0.20601958072179288","1.1511235838435206e-7","1.2277380399898834e-7","0.1381588945500224","0.2612459863345406","0.1230870917845182","1242","실험 추정; 미래 우월성 미확인"
"sum_bin","여섯 번호 합계","120-149","120~149","true","3037490","197","522","0.3773946360153257","0.3729242019088871","194.66643339643906","1.0119875140405363","0.33684967390436193","0.4197309496792827","0.08288127577492083","61","156","0.3819749214672641","1.257534745685629e-7","1.2277380399898834e-7","0.31794989228667325","0.46933933635994274","0.15138944407326954","1242","실험 추정; 미래 우월성 미확인"
"sum_bin","여섯 번호 합계","150-179","150~179","true","2190622","131","522","0.2509578544061303","0.26895099606387185","140.39241994534112","0.9330988101138378","0.21567522552685692","0.28987916612742115","0.07420394060056425","46","156","0.28191139546783334","1.286901142542316e-7","1.2277380399898834e-7","0.22894057633681122","0.3706626775862307","0.14172210124941947","1242","실험 추정; 미래 우월성 미확인"
"sum_bin","여섯 번호 합계","180-255","180~255","true","692827","55","522","0.1053639846743295","0.08506100630320709","44.4018452902741","1.238687258163285","0.0818474733317666","0.1346464088280894","0.05279893549632279","10","156","0.0745817852028856","1.0764849695939332e-7","1.2277380399898834e-7","0.03518858274470879","0.1139683318417555","0.07877974909704671","1242","실험 추정; 미래 우월성 미확인"
"adjacent_pairs","인접 연속번호 쌍","0","0쌍","true","3838380","250","522","0.4789272030651341","0.47125251379363686","245.99381220027846","1.0162857259046008","0.43638315499268077","0.5217791396857582","0.08539598469307741","70","156","0.4599852312557928","1.1983837745501822e-7","1.2277380399898834e-7","0.37283653745202533","0.5270642760287351","0.15422773857670977","1242","실험 추정; 미래 우월성 미확인"
"adjacent_pairs","인접 연속번호 쌍","1","1쌍","true","3290040","214","522","0.4099616858237548","0.40393072610883163","210.8518390288101","1.0149306782700611","0.36857723362403166","0.45266166182020734","0.08408442819617568","68","156","0.41991408100313377","1.2763190751575476e-7","1.2277380399898834e-7","0.3605494424755592","0.5143265743753913","0.15377713189983208","1242","실험 추정; 미래 우월성 미확인"
"adjacent_pairs","인접 연속번호 쌍","2","2쌍","true","913900","51","522","0.09770114942528736","0.11220297947467545","58.56995528578058","0.8707536099550619","0.07509315616303014","0.12618701497080365","0.0510938588077735","13","156","0.0977681564040044","1.0697905285480292e-7","1.2277380399898834e-7","0.049345650854239156","0.13734845867693996","0.08800280782270078","1242","실험 추정; 미래 우월성 미확인"
"adjacent_pairs","인접 연속번호 쌍","3","3쌍","true","98800","6","522","0.011494252873563218","0.01213005183510005","6.331887057922225","0.9475848108334496","0.005278273303937627","0.024847648787146258","0.01956937548320863","4","156","0.018885538738062844","1.9114917751075753e-7","1.2277380399898834e-7","0.010015466073008981","0.0640670586240257","0.054051592551016714","1242","실험 추정; 미래 우월성 미확인"
"adjacent_pairs","인접 연속번호 쌍","4","4쌍","true","3900","1","522","0.0019157088122605363","0.0004788178355960545","0.24994291018114045","4.000913645741232","0.0003382497261719287","0.010770533582384188","0.01043228385621226","1","156","0.0034445371229262322","8.832146469041621e-7","1.2277380399898834e-7","0.0011324653171247909","0.035412864435195084","0.03428039911807029","1242","실험 추정; 미래 우월성 미확인"
