"회차","추첨일","본번호1","본번호2","본번호3","본번호4","본번호5","본번호6","공식1등집계","번호합계","최대최소차","홀수 개수","22 이하 번호 개수","여섯 번호 합계","인접 연속번호 쌍","끝자리 종류 개수","소수 개수","번호 구간별 개수","최댓값−최솟값","합계 × 홀수 × 연속쌍","합계 × 홀수 × 저번호"
"1188","2025-09-06","3","4","12","19","22","27","24","87","24","3개","5개","21~89","1쌍","5종류","2개","2 · 2 · 2 · 0 · 0","20~29","합계 21~89 / 홀수 3 / 연속쌍 1","합계 21~89 / 홀수 3 / 22이하 5"
"1189","2025-09-13","9","19","29","35","37","38","13","167","29","5개","2개","150~179","1쌍","4종류","3개","1 · 1 · 1 · 3 · 0","20~29","합계 150~179 / 홀수 5 / 연속쌍 1","합계 150~179 / 홀수 5 / 22이하 2"
"1190","2025-09-20","7","9","19","23","26","45","6","129","38","5개","3개","120~149","0쌍","5종류","3개","2 · 1 · 2 · 0 · 1","30~39","합계 120~149 / 홀수 5 / 연속쌍 0","합계 120~149 / 홀수 5 / 22이하 3"
"1191","2025-09-27","1","4","11","12","20","41","18","89","40","3개","5개","21~89","1쌍","4종류","2개","2 · 3 · 0 · 0 · 1","40~44","합계 21~89 / 홀수 3 / 연속쌍 1","합계 21~89 / 홀수 3 / 22이하 5"
"1192","2025-10-04","10","16","23","36","39","40","29","164","30","2개","2개","150~179","1쌍","4종류","1개","1 · 1 · 1 · 3 · 0","30~39","합계 150~179 / 홀수 2 / 연속쌍 1","합계 150~179 / 홀수 2 / 22이하 2"
"1193","2025-10-11","6","9","16","19","24","28","16","102","22","2개","4개","90~119","0쌍","4종류","1개","2 · 2 · 2 · 0 · 0","20~29","합계 90~119 / 홀수 2 / 연속쌍 0","합계 90~119 / 홀수 2 / 22이하 4"
"1194","2025-10-18","3","13","15","24","33","37","28","125","34","5개","3개","120~149","0쌍","4종류","3개","1 · 2 · 1 · 2 · 0","30~39","합계 120~149 / 홀수 5 / 연속쌍 0","합계 120~149 / 홀수 5 / 22이하 3"
"1195","2025-10-25","3","15","27","33","34","36","10","148","33","4개","2개","120~149","1쌍","5종류","1개","1 · 1 · 1 · 3 · 0","30~39","합계 120~149 / 홀수 4 / 연속쌍 1","합계 120~149 / 홀수 4 / 22이하 2"
"1196","2025-11-01","8","12","15","29","40","45","15","149","37","3개","3개","120~149","0쌍","5종류","1개","1 · 2 · 1 · 1 · 1","30~39","합계 120~149 / 홀수 3 / 연속쌍 0","합계 120~149 / 홀수 3 / 22이하 3"
"1197","2025-11-08","1","5","7","26","28","43","13","110","42","4개","3개","90~119","0쌍","6종류","3개","3 · 0 · 2 · 0 · 1","40~44","합계 90~119 / 홀수 4 / 연속쌍 0","합계 90~119 / 홀수 4 / 22이하 3"
"1198","2025-11-15","26","30","33","38","39","41","10","207","15","3개","0개","180~255","1쌍","6종류","1개","0 · 0 · 2 · 3 · 1","0~19","합계 180~255 / 홀수 3 / 연속쌍 1","합계 180~255 / 홀수 3 / 22이하 0"
"1199","2025-11-22","16","24","25","30","31","32","17","158","16","2개","1개","150~179","3쌍","6종류","1개","0 · 1 · 3 · 2 · 0","0~19","합계 150~179 / 홀수 2 / 연속쌍 3","합계 150~179 / 홀수 2 / 22이하 1"
